,sv,ar,de,az,fr,eu,nl,ru,be,it,bg,es,ca,pl,vi,hr,ja,cs,da,pt,uk,eo,fa,et,sr,fi,no,id,gl,ko,ka,hu,el,ro,hi,tr,ms,sk,la,lv,lt,mk,sl,ur,th,ta,cy,af,sq,bn,tl,te,ht,sw,ga,is,gu,kn,yi
Do you want to go to the movies?,Vill du gå på bio?,هل تريد أن تذهب إلى السينما؟,Wollen Sie ins Kino gehen?,Siz kinoya getmək istəyirsiniz?,Voulez-vous aller au cinéma?,Ez zinemara joan nahi duzu?,Wil je naar de film?,Вы хотите пойти в кино?,Вы хочаце пайсці ў кіно?,Vuoi andare al cinema?,Искаш ли да отидем на кино?,¿Quieres ir al cine?,Vols anar a el cinema?,Chcesz iść do kina?,Bạn có muốn đi xem phim?,Želite li ići u kino?,あなたは映画を見に行きたいですか？,Chcete jít do kina?,Har du lyst til at gå i biografen?,Você quer ir ao cinema?,Ви хочете піти в кіно?,Ĉu vi volas iri al la kinejo?,آیا شما می خواهید برای رفتن به فیلم؟,Kas sa tahad minna kinno?,Да ли желиш да идеш у биоскоп?,Haluatko mennä elokuviin?,Vil du gå på kino?,Apakah Anda ingin pergi ke bioskop?,Queres ir ao cine?,당신은 영화를 보러 하시겠습니까?,გსურთ წასვლა ფილმები?,Szeretné moziba?,Θέλετε να πάτε στον κινηματογράφο;,Vrei să mergi la film?,आप फिल्मों के लिए जाने के लिए करना चाहते हैं?,Sinemaya gitmek istiyor musunuz?,Adakah anda ingin pergi ke filem?,Chcete ísť do kina?,Movies vultis ire?,"Vai jūs vēlaties, lai iet uz kino?",Ar norite eiti į kiną?,Дали сакате да одите во кино?,"Ali želite, da gredo v kino?",آپ فلموں میں جانے کے لئے چاہتے ہیں؟,คุณต้องการที่จะไปดูหนัง?,நீங்கள் திரைப்படம் செல்ல விரும்புகிறீர்களா?,Ydych chi eisiau mynd i'r ffilmiau?,Wil jy om te gaan na die films?,A ju doni të shkoni në kinema?,আপনি সিনেমা দেখতে যেতে চান?,Huwag mo nais na pumunta sa mga pelikula?,మీరు సినిమాలు కు వెళ్లాలని మీరు అనుకుంటున్నారా లేదు?,ou vle pou yo ale nan fim sa yo?,"Je, unataka kwenda kwa sinema?",Ar mhaith leat dul go dtí an scannáin?,Viltu fara í bíó?,તમે ફિલ્મો પર જાઓ કરવા માંગો છો?,ನೀವು ಚಲನಚಿತ್ರಗಳು ಹೋಗಲು ಬಯಸುತ್ತೀರಾ?,צי איר ווילן צו גיין צו די קינאָ?
Have you seen this movie?,Har du sett den här filmen?,هل رأيت هذا الفيلم؟,Hast du diesen Film gesehen?,Bu film gördünmü?,As-tu vu ce film?,Dute film hau ikusi duzu?,Heb je deze film gezien?,Вы видели этот фильм?,Вы бачылі гэты фільм?,Hai visto questo film?,Виждали ли сте този филм?,¿Has visto esta película?,Has vist aquesta pel·lícula?,Czy widziałeś ten film?,bạn đã bao giờ xem bộ phim này chưa?,Jeste li vidjeli ovaj film?,あなたはこの映画を見たことがありますか？,Už jste viděl tento film?,Har du set denne film?,Você já viu esse filme?,Ви бачили цей фільм?,Ĉu vi vidis tiun filmon?,این فیلم را دیده اید؟,Kas olete näinud seda filmi?,Да ли сте гледали овај филм?,Oletko nähnyt tätä elokuvaa?,Har du sett denne filmen?,Pernahkah Anda melihat film ini?,Xa viu esta película?,당신은이 영화를 본 적이 있나요?,გინახავთ ეს ფილმი?,Láttad ezt a filmet?,Έχετε δει αυτή την ταινία;,Ai vazut acest film?,क्या तुमने यह फ़िल्म देखि है?,Bu filmi gördün mü?,Adakah anda melihat filem ini?,Už ste videl tento film?,Hoc movie vidisti?,Vai esat redzējuši šo filmu?,Ar matėte šį filmą?,Дали сте го виделе овој филм?,Ste videli ta film?,آپ اس فلم کو دیکھا ہے؟,คุณจะได้เห็นหนังเรื่องนี้?,இந்த திரைப்பட பார்த்திருக்கிறீர்களா?,Ydych chi wedi gweld y ffilm hon?,Het jy hierdie fliek gesien?,A keni parë këtë film?,আপনি এই সিনেমা দেখেছেন?,Nakita mo ba ang pelikulang ito?,మీరు ఈ చిత్రం చూసిన?,Èske ou te wè fim sa a?,"Je, umeona filamu hii?",An bhfaca tú an scannán?,Hefur þú séð þessa mynd?,તમે આ ફિલ્મ જોઈ છે?,ಈ ಚಿತ್ರ ನೋಡಿದ್ದೀರಾ?,האָבן איר געזען דעם פֿילם?
He said you like to watch movies.,Han sa att du gillar att titta på film.,وقال كنت ترغب في مشاهدة الأفلام.,"Er sagte, die Sie mögen Filme sehen.","O, film izləmək istəyirəm dedi.",Il a dit que vous aimez regarder des films.,"nahi duzu filmak ikusi, esan du.",Hij zei dat je graag om films te kijken.,"Он сказал, что вы хотели бы смотреть фильмы.","Ён сказаў, што вы хацелі б глядзець фільмы.",Ha detto che ti piace guardare i film.,"Той каза, че искате да гледате филми.",Dijo que te gusta ver películas.,Va dir que t'agrada veure pel·lícules.,Powiedział lubisz oglądać filmy.,Ông cho biết bạn thích xem phim.,Rekao želite gledati filmove.,彼は、あなたが映画を見るのが好きです。,"Řekl, že si přejete sledovat filmy.","Han sagde, at du kan lide at se film.",Ele disse que você gosta de assistir filmes.,"Він сказав, що ви хотіли б дивитися фільми.",Li diris ke vi ŝatas rigardi filmojn.,او گفت دوست دارید به تماشای فیلم.,"Ta ütles, et sa meeldib vaadata filme.",Он је рекао да волиш да гледаш филмове.,Hän sanoi haluat katsella elokuvia.,Han sa at du liker å se filmer.,Dia mengatakan Anda ingin menonton film.,Dixo que desexa ver películas.,그는 당신이 영화를보고 좋아했다.,"მან განაცხადა, რომ გსურთ უყუროთ ფილმებს.","Azt mondta, szeretne filmet nézni.",Είπε ότι σας αρέσει να παρακολουθείτε ταινίες.,El a spus că place sa ma uit la filme.,उन्होंने कहा कि आप फिल्में देखने के लिए चाहते कहा।,O film izlemeyi severim söyledi.,Beliau berkata anda suka menonton filem.,"Povedal, že si prajete sledovať filmy.",Dicit autem ipsum vigilare.,"Viņš teica, ka jums patīk skatīties filmas.",Jis sakė jums patinka žiūrėti filmus.,Тој рече дека ви се допаѓа да се види филмови.,"Rekel je, da rada gledam filme.",وہ تمہیں فلمیں دیکھنا پسند کہا.,เขาบอกว่าคุณชอบที่จะดูหนัง,அவர் நீங்கள் திரைப்படம் பார்க்க விரும்புகிறீர்கள் கூறினார்.,Dywedodd chi'n hoffi gwylio ffilmiau.,Hy het gesê jy wil om films te kyk.,Ai tha se ju pëlqen të shikojnë filma.,তিনি আপনাকে চলচ্চিত্র দেখতে চান তিনি।,Sinabi niya na gusto mong panoorin movies.,అతను మీరు సినిమాలు చూడటానికి ఇష్టపడే చెప్పారు.,Li te di ou renmen yo gade sinema.,"Alisema, wewe kama kuangalia sinema.",Dúirt sé maith leat chun féachaint ar scannáin.,Hann sagði að þú eins og að horfa á bíó.,તેમણે તમે ફિલ્મો જોવાનું પસંદ હતું.,ಅವರು ನೀವು ಸಿನೆಮಾ ವೀಕ್ಷಿಸಲು ಇಷ್ಟಪಡುತ್ತೀರಿ ಹೇಳಿದರು.,ער האט געזאגט איר ווי צו היטן קינאָ.
How tall are you?,Hur lång är du?,كم طولك؟,Wie groß bist du?,Boyun neçədir?,Quelle est votre taille?,Zenbat neurtzen duzu?,Hoe lang ben je?,Какого ты роста?,Які твой рост?,Quanto sei alta?,Колко си висок?,¿Cuánto mides?,Quina alçada fas?,Jaki jest Twój wzrost?,Bạn cao bao nhiêu?,Koliko si visok?,あなたの身長はどれくらいですか？,Jak jsi vysoký?,Hvor høj er du?,Quão alto é você?,Наскільки високий ви?,Kiom alta vi estas?,قد شما چند سانتی متر است؟,Kui pikk sa oled?,Колико сте високи?,Kuinka pitkä olet?,Hvor høy er du?,Berapa tinggimu?,Canto mides?,당신은 키가 얼마나 있습니까?,Რა სიმაღლის ხარ?,Milyen magas vagy?,Πόσο ψηλός είσαι?,Cat de inalt esti?,तुम कितने लम्बे हो?,Boyunuz kaç?,Berapakah tinggi awak?,Aký si vysoký?,Quam alta es?,Cik garš tu esi?,Koks tavo ūgis?,Колку си висок?,Kako visok si?,آپ کتنا لمبا ہو؟,คุณสูงเท่าไหร่?,நீங்கள் எப்படி உயரமுள்ளவைகளாயிருக்கின்றன?,Pa mor dal wyt ti?,Hoe lank is jy?,Sa i gjatë jeni?,তুমি কতটা লম্বা?,Gaano ka katangkad?,మీరు ఎంత పొడవు ఉన్నారు?,Ki wotè w?,Jinsi mrefu ni wewe?,Cén airde thú?,Hvað ertu há?,તમે કેવી રીતે ઊંચા હોય છે?,ನಿನ್ನ ಎತ್ತರವೆಷ್ಟು?,ווי הויך ביסטו?
Is the bank far?,Är banken långt?,هو الآن البنك؟,Ist die Bank weit?,bank uzaq mı?,Est-ce l'extrême bancaire?,banku urrun dago?,Is de bank nu toe?,Является ли банк далеко?,Ці з'яўляецца банк далёка?,È l'estrema banca?,Дали банка досега?,Es el momento de banco?,És el moment de banc?,Jest daleko w banku?,Là xa ngân hàng?,Je li banka sada?,銀行遠くのですか？,Je banka daleko?,Er banken langt?,É a extrema banco?,Чи є банк далеко?,Ĉu la banko nun?,است که به دور بانک؟,Kas pank kaugele?,Да ли је банка сада?,Onko pankki pitkälle?,Er banken langt?,Adalah jauh Bank?,É a extrema banco?,은행까지인가?,ბანკი შორს?,A bank eddig?,Είναι η τράπεζα τώρα;,Este FAR banca?,बैंक अब तक है?,Banka uzak mı?,Adalah jauh bank?,Je banka ďaleko?,Ripae quantum est?,Vai banka tālu?,Ar bankas toli?,Е банка до сега?,Je banka daleč?,بینک کا دور ہے؟,อยู่ไกลธนาคารได้หรือไม่,வங்கி தூரம் உள்ளது?,A yw'r bell banc?,Is die bank ver?,Është shumë banka?,ব্যাংক দূরে আছেন?,Ay ang bangko ngayon?,బ్యాంకు ఇప్పటివరకు ఉంది?,Se byen lwen nan bank?,Je benki sasa?,An bhfuil an go dtí seo bainc?,Er bankinn langt?,બેંક દૂર છે?,ಬ್ಯಾಂಕ್ ದೂರದಲ್ಲಿದೆ?,איז די באַנק ווייַט?
Is there a movie theater nearby?,Finns det en biograf i närheten?,هل هناك مسرح في مكان قريب؟,Gibt es ein Kino in der Nähe?,bir film teatr inizi?,Il y a-t-il une salle de cinéma à proximité?,Ba al dago zinematik hurbil?,Is er een bioscoop in de buurt?,Здесь рядом есть кинотеатр?,Ёсць кінатэатр побач?,C'è un cinema nelle vicinanze?,Има киносалон в района?,¿Hay un cine cerca?,Hi ha una sala de cinema a prop?,Czy istnieje kino okolicy?,Có một rạp chiếu phim gần đó?,Ima li u kinu u blizini?,近くに映画館はありますか？,Je tu kino v okolí?,Er der en biograf i nærheden?,Tem um cinema aqui por perto?,Є кінотеатр поруч?,Ĉu estas kinejo proksima?,است یک سالن سینما در نزدیکی وجود دارد؟,Kas kino lähedal?,Има ли у близини биоскоп?,Onko elokuvateatteri lähistöllä?,Er det en kino i nærheten?,Apakah ada bioskop terdekat?,Existe un cine nas proximidades?,영화관 근처에 있습니까?,არსებობს კინოთეატრ მიმდებარე?,Van egy mozi a közelben?,Υπάρχει μια κινηματογραφική αίθουσα κοντά;,Există un cinematograf din apropiere?,क्या आस - पास कोई मूवी थियेटर है?,Yakınlarda bir sinema salonu var mı?,Adakah terdapat pawagam berhampiran?,Je tu kino v okolí?,Prope est a movie theatrum?,Vai ir kinoteātris tuvumā?,"Ar yra kino teatras, netoliese?",Дали постои кино во близина?,Ali obstaja kino v bližini?,گرد کوئی فلم تھیٹر ہے؟,มีโรงภาพยนตร์ในบริเวณใกล้เคียง,அருகில் ஒரு திரையரங்கமா?,A oes theatr movie gerllaw?,Is daar 'n teater in die buurt?,A ka një teatër film afër?,কাছাকাছি কোন সিনেমা হল?,Mayroon bang isang sinehan sa malapit?,అక్కడ ఒక సినిమా థియేటర్ సమీపంలోని?,Èske gen yon sal sinema ki tou pre?,"Je, kuna ukumbi wa sinema karibu?",An bhfuil pictiúrlann scannán in aice láimhe?,Er kvikmyndahús nálægt?,નજીકના ત્યાં એક ફિલ્મ થિયેટર છે?,ಸಮೀಪವಿದ್ದಾಗ ಚಿತ್ರ ಮಂದಿರವಾಗಿದೆಯೇ?,איז עס אַ פֿילם טעאַטער נירביי?
What do people usually do in the summer in Los Angeles?,Vad gör människor brukar göra under sommaren i Los Angeles?,ماذا يفعل الناس عادة في فصل الصيف في لوس انجليس؟,Was tun die Menschen in der Regel im Sommer in Los Angeles?,"insanlar, adətən, Los Angeles yayda nə etməliyəm?",Qu'est-ce que les gens font habituellement l'été à Los Angeles?,Zer jende normalean Los Angelesen udan egin?,Wat doen mensen meestal doen in de zomer in Los Angeles?,Что люди обычно делают летом в Лос-Анджелесе?,Што людзі звычайна робяць летам у Лос-Анджэлесе?,Che cosa la gente di solito in estate a Los Angeles?,Какво правят хората обикновено правят през лятото в Лос Анджелис?,¿Qué la gente suele hacer en el verano en Los Angeles?,¿Què la gent sol fer a l'estiu a Los Angeles?,Co ludzie zwykle zrobić w lecie w Los Angeles?,Những gì người ta thường làm vào mùa hè ở Los Angeles?,Što ljudi obično učiniti u ljeto u Los Angeles?,人々は通常、ロサンゼルスの夏に何をしますか？,Co lidé obvykle dělají v létě v Los Angeles?,Hvad gør folk normalt gør i sommeren i Los Angeles?,"O que as pessoas costumam fazer no verão, em Los Angeles?",Що люди зазвичай роблять влітку в Лос-Анджелесі?,Kion homoj kutime faras somere en Los-Anĝeleso?,چه مردم معمولا در تابستان در لس آنجلس انجام؟,Mida inimesed tavaliselt teevad suvel Los Angeles?,Шта људи обично раде током лета у Лос Анђелесу?,Mitä ihmiset yleensä tehdä kesällä Los Angeles?,Hva gjør folk vanligvis gjør i løpet av sommeren i Los Angeles?,Apa yang biasanya orang pada musim panas di Los Angeles?,"O que a xente adoitan facer no verán, en Los Angeles?",사람들은 일반적으로 로스 앤젤레스에서 여름에 무엇을해야합니까?,"რა ადამიანი, როგორც წესი ზაფხულში Los Angeles?",Mit emberek általában nem a nyáron Los Angeles?,Τι κάνουν οι άνθρωποι συνήθως κάνουν το καλοκαίρι στο Λος Άντζελες;,"Ce fac oamenii de obicei, în vara în Los Angeles?",क्या लोगों को आम तौर लॉस एंजिल्स में गर्मियों में क्या करते हो?,insanlar genellikle Los Angeles'ta yaz aylarında ne yapacağız?,Apa yang orang biasanya dilakukan di musim panas di Los Angeles?,Čo ľudia zvyčajne robia v lete v Los Angeles?,Los Angeles aestate quid facere solent?,Ko cilvēki parasti dara vasarā Losandželosā?,Ką žmonės paprastai daryti Los Andžele vasarą?,Што луѓето обично го прават во текот на летото во Лос Анџелес?,Kaj ljudje ponavadi poleti v Los Angelesu?,لوگ عام طور پر لاس اینجلس میں موسم گرما میں کیا کروں؟,ทำในสิ่งที่คนมักจะทำในช่วงฤดูร้อนใน Los Angeles?,என்ன மக்கள் வழக்கமாக லாஸ் ஏஞ்சல்ஸ் நகரில் உள்ள கோடை அடிக்கிறது?,Beth mae pobl fel arfer yn gwneud yn yr haf yn Los Angeles?,Wat doen mense gewoonlik doen in die somer in Los Angeles?,Çfarë njerëzit zakonisht bëjnë në verë në Los Angeles?,কি মানুষ সাধারণত লস এঞ্জেলেস গ্রীষ্মে করবেন?,Ano ang mga tao ay karaniwang gawin sa tag-araw sa Los Angeles?,ప్రజలు ఏమి సాధారణంగా లాస్ ఏంజిల్స్ లో వేసవిలో చేస్తారు?,"Ki sa ki moun Anjeneral, nou fè nan sezon lete an nan Los Angeles?","Je, watu kawaida kufanya katika majira ya joto katika Los Angeles?",Cad a dhéanann daoine a dhéanamh de ghnáth i rith an tsamhraidh i Los Angeles?,Hvað fólk yfirleitt gera í sumar í Los Angeles?,શું લોકો સામાન્ય રીતે લોસ એન્જલસ ઉનાળામાં કરવું?,ಯಾವ ಜನರು ಸಾಮಾನ್ಯವಾಗಿ ಲಾಸ್ ಏಂಜಲೀಸ್ನಲ್ಲಿ ಬೇಸಿಗೆಯಲ್ಲಿ ಮಾಡಬೇಕು?,וואָס טאָן מענטשן יוזשאַוואַלי טאָן אין די זומער אין לאס אנדזשעלעס?
What kind of music do you like?,Vilken typ av musik gillar du?,أي نوع من الموسيقى تفضل؟,Welche Art von Musik haben Sie gern?,Hansı növ musiqini sevirsən?,Quel genre de musique aimez-vous?,Zer nolako musika egin nahi duzu?,Van welke muziek hou je?,Какую музыку ты любишь?,Якую музыку вы любіце?,Che tipo di musica ti piace?,Каква музика харесваш?,¿Qué tipo de música te gusta?,Quin tipus de música t'agrada?,Jaki rodzaj muzyki lubisz?,Bạn thích thể loại nhạc nào?,Kakvu glazbu voliš?,どんな音楽がお好きですか？,Jaký druh hudby máš rád?,Hvilken slags musik kan du lide?,Que tipo de música você gosta?,Яка музика тобі подобається?,Kian muzikon vi ŝatas?,چه نوع موسیقی را دوست دارید؟,Milline muusika sulle meeldib?,Коју врсту музике слушаш?,Minkälaisesta musiikista pidät?,Hva slags musikk liker du?,Jenis musik apa yang kamu suka?,Que tipo de música che gusta?,당신에게 어떤 어떤 음악을 좋아합니까?,Როგორი მუსიკა მოგწონს?,Miféle zenét szeretsz?,Τι είδος μουσικής σου αρέσει?,Ce gen de muzica iti place?,तुम्हे किस प्रकार का संगीत पसंद है?,Ne tür müzik seversin?,Apakah jenis muzik yang anda suka?,Aký druh hudby máš rád?,Quod genus musicae amatis vos?,Kāda mūzika tev patīk?,Kokią muziką mėgsti?,Каква музика сакаш?,Kakšno vrsto glasbe imaš rad?,آپ کونسی موسیقی پسند کرتے ہیں؟,คุณชอบดนตรีประเภทไหน?,உங்களை போன்ற வகையான இசை என்ன செய்ய?,Pa fath o gerddoriaeth ydych chi'n hoffi?,Van watter soort musiek hou jy?,Çfarë lloj muzike ju pëlqen?,তুমি কি ধরনের গান পছন্দ করো?,Anong klaseng musika ang gusto mo?,నువ్వు ఎలాంటి సంగీతాన్ని ఇష్టపడతావు?,Ki kalite mizik ou renmen?,"Ni aina gani ya muziki je, wewe kama?",Cén cineál ceoil a thaitníonn leat?,Hvers konar tónlist líkar þér?,તમને કેવું સંગીત ગમે છે?,ಯಾವರೀತಿಯ ಸಂಗೀತವನ್ನು ನೀವು ಇಷ್ಟಪಡುವಿರಿ?,וועלעכע מוזיק האסטו ליב?
What's your favorite food?,Vad är din favoritmat?,ما هو طعامك المفضل؟,Was ist dein Lieblingsessen?,sevimli qida nədir?,Quel est ton plat préféré?,Zein da zure gogoko janaria?,Wat is uw favoriete voedsel?,Какая ваша любимая еда?,Якая твая любімая ежа?,Qual è il tuo cibo preferito?,Коя е любимата ти храна?,¿Cuál es tu comida favorita?,Quin és el teu menjar favorit?,Jakie jest Twoje ulubione jedzenie?,Thức ăn ưa thích của bạn là gì?,Koja je vaša omiljena hrana?,あなたの好きな食べ物は何ですか？,Jaké je tvé oblíbené jídlo?,Hvad er din livret?,Qual sua comida favorita?,Яка твоя улюблена їжа?,Kiun manĝaĵon vi plej ŝatas?,غذای مورد علاقه شما چیست؟,Mis on su lemmiktoit?,Која је твоја омиљена храна?,Mikä on lempiruokasi?,Hva er din favoritt mat?,Apa makanan favorit Anda?,Cal é a súa comida favorita?,가장 좋아하는 음식 무엇?,Რა არის თქვენი საყვარელი საკვები?,Mi a kedvenc ételed?,Ποιο είναι το αγαπημένο σας φαγητό?,Care este mâncarea ta preferată?,आपका पसंदीदा भोजन क्या है?,Senin favori yemeğin ne?,Apakah makanan kegemaran awak?,Aké je tvoje obľúbené jedlo?,Quid suus 'vestri ventus cibum?,Kāds ir jūsu mīļākais ēdiens?,Koks jūsų mėgstamiausias maistas?,Која е вашата омилена храна?,Katera je tvoja najljubša hrana?,آپ کا پسندیدہ کھانا کیا ہے؟,อาหารที่ชื่นชอบคืออะไร?,உங்களுக்கு பிடித்த உணவு என்ன?,Beth yw eich hoff fwyd?,Wat is jou gunsteling kos?,Cili eshte ushqimi juaj i preferuar?,আপনার প্রিয় খাদ্য কি?,Ano ang paborito mong pagkain?,మీకు ఇష్టమైన ఆహారం ఏమిటి?,Ki sa ki nan manje pi renmen ou a?,Nini chakula yako favorite?,Cad é do bia is fearr leat?,Hvað er uppáhalds maturinn þinn?,તમને મન ગમતો ખોરાક શું છે?,ನಿನ್ನ ಅಚ್ಚುಮೆಚ್ಚಿನ ಆಹಾರವೇನು?,וואָס ס אייער באַליבט עסנוואַרג?
What time does the movie start?,Vilken tid börjar filmen?,متى يبدأ الفلم؟,Wann startet der Film?,Film nə vaxt başlayır?,A quelle heure le film débute-t-il?,Zer ordu filma hasteko?,Hoe laat begint de film?,Во сколько начинается фильм?,Які час пачынаецца фільм?,A che ora inizia il film?,По кое време се стартира филма?,¿A qué hora empieza la película?,A quina hora comença la pel·lícula?,O której zaczyna się film?,Khi nào bộ phim mới bắt đầu?,Što vrijeme ne pokreće film?,映画は何時に始まりますか？,V kolik hodin kdo ten film?,Hvad tid tager filmen starter?,Que horas o filme começa?,Який час починається фільм?,Je kiu horo la filmo komencu?,فیلم چه ساعتی شروع کنم؟,Mis kell film algab?,У колико сати почиње филм?,Mihin aikaan elokuva alkaa?,Når starter filmen?,Jam berapa mulai film?,A que hora o filme comezar?,영화는 몇시에 시작합니까?,რა დრო ამჯამად ფილმის დაიწყოს?,Mikor kezdődik a film?,Τί ώρα ξεκινάει η ταινία?,La ce ora incepe filmul?,मूवी किस समय प्रारंभ होती है?,Film ne zaman başlıyor?,Pukul berapa filem bermula?,V koľko hodín kto ten film?,Et satus elit Quota hora est?,Cikos filma sākt?,Kelintą valandą prasideda filmas?,Кое време да почне филмот?,Kaj času se začne film?,فلم کس وقت شروع ہوتی ہے؟,สิ่งที่เวลาไม่ภาพยนตร์เริ่มต้นอย่างไร,திரைப்பட என்ன நேரம் தொடங்குகிறது?,Pa bryd mae'r ffilm yn dechrau?,Hoe laat die film begin?,Në çfarë ore fillon filmi?,সিনেমা কখন শুরু হবে?,Anong oras magsisimula ang pelikula?,చలన చిత్రం ఏమిటి సమయం ప్రారంభమవుతుంది?,Ki lè fim nan kòmanse?,Saa ngapi haina movie kuanza?,Cén t-am an scannán thosú?,Hvað tíminn er myndin byrjar?,સમય શું ફિલ્મ શરૂ થાય છે?,ಚಿತ್ರ ಯಾವ ಸಮಯದಲ್ಲಿ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ?,וואָס מאָל טוט די פֿילם אָנהייב?
