en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
both of them	båda två	كلاهما	beide	onların hər ikisi	les deux	biak	beide	оба из них	абодва з іх	entrambi	и двамата	ambos	ambdós	oboje	cả hai	oboje	それらの両方	oba dva	begge to	ambos	обидва	ambaux	هر دوی آنها	mõlemad	обоје	molemmat heistä	begge to	keduanya	ambos	둘 다	ორივე	mindkettő	και οι δύο	ambele	वो दोनों	Bunların her ikisi de	kedua-dua mereka	oba	tum ex illis	abi	abu	двајцата	oba	وہ دونوں ہی	เขาทั้งคู่	அவர்கள் இருவரும்	y ddau ohonynt	beide van hulle	dy prej tyre	উভয় তাদের	silang pareho	ఇద్దరు	toulède	zote mbili	an bheirt acu	þau bæði	બંને	ಅವರಿಬ್ಬರೂ	זיי ביידע
both of us	vi båda	كلانا	wir beide	hər ikimiz	nous deux	biok	beide van ons	мы оба	мы абодва	entrambi	и двама ни	nosotros dos	tots dos	my oboje	cả hai chúng ta	oboje	二人とも	oba z nás	os begge to	nós dois	ми двоє	ni ambaŭ	هر دوی ما	me mõlemad	обоје	molemmat meistä	oss begge	kita berdua	ámbolos dous	우리 모두의	ორივე ჩვენგანი	mindkettőnk	και οι δυο μας	amândoi	हम दोनों	ikimiz de	kita berdua	obaja	tum ex nobis	mēs abi	mudu	двајцата	oba	ہم دونوں	เราทั้งคู่	நாம் இருவரும்	y ddau ohonom	albei van ons	te dy ne	আমরা দুজনেই	tayong dalawa	మనమిద్దరమూ	tou de nan nou	wote sisi	an dá linn	okkur bæði	અમારા બંને	ನಾವಿಬ್ಬರು	ביידע פון ​​אונדז
both of you	båda två	كلاكما	ihr beide	ikinizdə	vous deux	zuek biok	jullie beiden	вы оба	вы абодва	entrambi	и на двама ви	Ustedes dos	tots dos	obydwoje z was	cả hai bạn	oboje	あなたの両方	oba	jer begge to	vocês dois	ви обоє	vi ambaŭ	هردو شما	te mõlemad	обоје	molemmat teistä	begge to	kamu berdua	ambos	너희 둘 다	ორივე თქვენგანი	mindketten	και οι δύο σας	amandoi	तुम दोनों	ikinizde	kamu berdua	obaja	utrumque	jums abiem	Jūs abu	двајцата	oba	تم دونوں	คุณทั้งคู่	நீங்கள் இருவருமே	y ddau ohonoch	beide van julle	te dy ju	উভয় তোমাদের	pareho kayo	మీ ఇద్దరూ	nou tou le de	nyinyi wawili	an bheirt agaibh	þið bæði	તમે બંને	ನೀವಿಬ್ಬರು	ביידע פון ​​איר
all of them	allihopa	كل منهم	alle von ihnen	onların hamısı	tous	denak	allemaal	все они	Усе яны	tutti loro	всички тях	todos ellos	tots ells	wszyscy	Tất cả bọn họ	Svi oni	それらのすべて	všichni	allesammen	todos eles	усі	ĉiuj ili	همه آنها	kõik nemad	сви они	Ne kaikki	alle sammen	mereka semua	todos eles	모두	ყველა მათგანი	mindegyikük	Ολα τους	toti	उन सभी को	hepsi	kesemuanya	všetky	omnes	visus	Visi jie	Сите тие	vse	ان میں سے سب	ทั้งหมด	அவர்கள் எல்லோரும்	pob un ohonynt	almal van hulle	të gjithë ata	তাদের সবাই	lahat sila	వాటిని అన్ని	tout nan yo	wote	iad go léir	öllum þeim	તે બધા	ಅವರೆಲ್ಲರೂ	אַלע פון ​​זיי
all of us	alla vi	كلنا	wir alle	hamımız	nous tous	guztiok	wij allemaal	все мы	ўсе мы	tutti noi	всички ние	todos nosotros	tots nosaltres	wszyscy z nas	tất cả chúng ta	svi mi	私たち全員	všichní z nás	os alle	todos nós	всі з нас	ni ĉiuj	همه ما	me kõik	све нас	me kaikki	alle oss	kita semua	todos nós	우리 모두	ყველა ჩვენთაგანი	Mindannyiunk	όλοι μας	noi toti	हम सब	hepimiz	kami semua	my všetci	omnes nos	mēs visi	Visi mes	Сите ние	mi vsi	ہم سب	เราทั้งหมด	எங்களுக்கு அனைத்து	pob un ohonom	ons almal	të gjithë ne	আমরা সবাই	lahat tayo	మనమందరమూ	nou tout	sisi wote	gach duine againn	við öll	અાપણે બધા	ನಾವೆಲ್ಲರು	אונז אלע
That's all.	Det är allt.	هذا كل شئ.	Das ist alles.	Vəssalam.	C'est tout.	Hori da dena.	Dat is alles.	Это все.	Гэта ўсе.	È tutto.	Това е всичко.	Eso es todo.	Això és tot.	To wszystko.	Đó là tất cả.	To je sve.	それで全部です。	To je vše.	Det er alt.	Isso é tudo.	Це все.	Tio estas ĉio.	که تمام است.	See on kõik.	То је све.	Siinä kaikki.	Det er alt.	Itu saja.	Iso é todo.	그게 다야.	Სულ ეს არის.	Ez minden.	Αυτό είναι όλο.	Asta e tot.	बस इतना ही।	Bu kadar.	Itu sahaja.	To je všetko.	Quod suus omnes.	Tas ir viss.	Tai viskas.	Тоа е се.	To je vse.	بس.	นั่นคือทั้งหมดที่	அவ்வளவுதான்.	Dyna i gyd.	Dis al.	Kjo eshte e gjitha.	এখানেই শেষ.	Iyon lang.	అంతే.	Se tout.	Ni hayo tu.	Sin é an méid.	Það er allt og sumt.	કે બધા છે.	ಅಷ್ಟೇ.	אַז ס אַלע.
good question	bra fråga	سؤال جيد	gute Frage	yaxşı sual	bonne question	Galdera ona	goede vraag	хороший вопрос	добры пытанне	buona domanda	Добър въпрос	buena pregunta	bona pregunta	dobre pytanie	câu hỏi hay	dobro pitanje	良い質問	dobrá otázka	godt spørgsmål	boa pergunta	Гарне питання	bona demando	سؤال خوبی بود	hea küsimus	добро питање	hyvä kysymys	godt spørsmål	Pertanyaan bagus	boa pregunta	좋은 질문	კარგი კითხვა	jó kérdés	καλή ερώτηση	buna intrebare	अच्छा प्रश्न	iyi soru	soalan yang baik	dobrá otázka	bonum quaestio	labs jautājums	geras klausimas	добро прашање	Dobro vprašanje	اچھا سوال	คำถามที่ดี	நல்ல கேள்வி	gwestiwn da	goeie vraag	pyetje e mirë	ভাল প্রশ্ন	magandang tanong	మంచి ప్రశ్న	bon kesyon	swali zuri	ceist mhaith	góð spurning	સારો પ્રશ્ન	ಒಳ್ಳೆಯ ಪ್ರಶ್ನೆ	גוט קשיא
bad question	dålig fråga	السؤال سيئة	schlechte Frage	pis sual	mauvaise question	txarra Galdera	slechte vraag	плохой вопрос	дрэнны пытанне	Bad domanda	лош въпрос	Mala pregunta	mala pregunta	złe pytanie	câu hỏi tồi	loše pitanje	悪い質問	špatná otázka	dårlig spørgsmål	pergunta ruim	поганий питання	malbona demando	سوال بد	halb küsimus	лоше питање	paha kysymys	dårlig spørsmålet	pertanyaan yang buruk	pregunta mal	나쁜 질문	ცუდი კითხვა	rossz kérdés	κακή ερώτηση	întrebare rău	बुरा सवाल	kötü bir soru	soalan buruk	zlá otázka	malos interrogare	slikts jautājums	blogas klausimas	лош збор	slab vprašanje	برا سوال	คำถามที่ไม่ดี	மோசமான கேள்வி	cwestiwn drwg	slegte vraag	Pyetja e keqe	খারাপ প্রশ্ন	bad tanong	చెడు ప్రశ్నకు	move kesyon	swali mbaya	ceist dona	slæmt spurning	ખરાબ પ્રશ્ન	ಕೆಟ್ಟ ಪ್ರಶ್ನೆಗೆ	שלעכט קשיא
No problem	Inga problem	ليس هناك أى مشكلة	Kein Problem	Problem deyil	aucun problème	Arazorik ez	Geen probleem	нет проблем	няма праблем	Nessun problema	Няма проблем	No hay problema	No hi ha problema	Nie ma problemu	Không vấn đề gì	Nema problema	問題ない	Žádný problém	Intet problem	Sem problemas	Без проблем	Nedankinde	مشکلی نیست	Pole probleemi	Нема проблема	Ei ongelmaa	Ikke noe problem	Tidak masalah	Sen problema	문제 없어요	Არაა პრობლემა	Nincs mit	Κανένα πρόβλημα	Nici o problema	कोई दिक्कत नहीं है	Sorun değil	Tiada masalah	Žiaden problém	Non forsit	Nekādu problēmu	Jokiu problemu	Нема проблем	ni problema	کوئی مسئلہ نہیں	ไม่มีปัญหา	எந்த பிரச்சினையும் இல்லை	Dim problem	Geen probleem	Nuk ka problem	সমস্যা নেই	Walang problema	ఏమి ఇబ్బంది లేదు	Pa gen pwoblèm	Hakuna shida	Fadhb ar bith	Ekkert mál	કોઇ વાંધો નહી	ಯಾವ ತೊಂದರೆಯಿಲ್ಲ	ניט קיין פּראָבלעם
What is your phone number?	Vad är ditt telefonnummer?	ما هو رقم هاتفك؟	Wie ist deine Telefonnummer?	Sizin telefon nömrəsi nədir?	Quel est ton numéro de téléphone?	Zein da zure telefono zenbakia?	Wat is uw telefoonnummer?	Какой у тебя номер телефона?	Які ў цябе нумар тэлефона?	Qual è il tuo numero di telefono?	Какъв е Вашият телефонен номер?	¿Cuál es tu número de teléfono?	Quin és el teu número de telèfon?	Jaki jest Twój numer telefonu?	Số điện thoại của bạn là gì?	Koji je Vaš broj telefona?	あなたの電話番号は何番ですか？	Jaké máte telefonní číslo?	Hvad er dit telefonnummer?	Qual É o Seu Numero De Telefone?	Який у тебе номер телефону?	Kio estas via telefonnumero?	شماره تلفن شما چیست؟	Mis on teie telefoninumber?	Који је Ваш број телефона?	Mikä on puhelinnumerosi?	Hva er telefonnummeret ditt?	Berapa nomor telepon anda?	Cal é o seu número de teléfono?	전화 번호는 뭐 지요?	Რა არის თქვენი ტელეფონის ნომერი?	Mi a telefonszáma?	Ποιος είναι ο τηλεφωνικός αριθμός σας?	Care este numarul tau de telefon?	आपका फ़ोन नंबर क्या है?	Telefon numaran nedir?	Apakah nombor telefon anda?	Aké je tvoje telefónne číslo?	Phone numerus Quod est opus tuum?	Kāds ir jūsu tālruņa numurs?	Koks jūsų telefono numeris?	Што е вашиот телефонски број?	Kakšna je tvoja telefonska številka?	آپ کا فون نمبر کیا ہے؟	หมายเลขโทรศัพท์ของคุณคืออะไร	உங்கள் தொலைபேசி எண் என்ன?	Beth yw eich rhif ffôn?	Wat is jou telefoonnommer?	Cili është numri juaj i telefonit?	আপনার ফোন নম্বর কি?	Ano ang numero ng telepono ninyo?	మీ ఫోన్ నంబర్ ఏమిటి?	Ki sa ki se nimewo telefòn ou a?	Ni nini namba yako ya simu?	Cad é d'uimhir fóin?	Hvað er símanúmerið þitt?	તમારો ફોન નંબર શું છે?	ನಿಮ್ಮ ದೂರವಾಣಿ ಸಂಖ್ಯೆ ಏನು?	וואָס איז דיין טעלעפאָנירן נומער?
