Column1   Wiki.Language    Wiki.LanguageLocal
en        English          English
sv        Swedish          Svenska
ar        Arabic                      ???????
de        German           Deutsch
az        Azerbaijani      Az?rbaycanca
fr        French           Français
eu        Basque           Euskara
nl        Dutch            Nederlands
ru        Russian          ???????
be        Belarusian       ??????????
it        Italian          Italiano
bg        Bulgarian        ?????????
es        Spanish          Español
ca        Catalan          Català
pl        Polish           Polski
vi        Vietnamese       Ti?ng Vi?t
hr        Croatian         Hrvatski
ja        Japanese         ???
cs        Czech            ?eština
da        Danish           Dansk
pt        Portuguese       Português
uk        Ukrainian        ??????????
eo        Esperanto        Esperanto
fa        Persian                       ?????
et        Estonian         Eesti
sr        Serbian          ?????? / Srpski
fi        Finnish          Suomi
no        Norwegian (BokmålNorsk (Bokmål)
id        Indonesian       Bahasa Indonesia
gl        Galician         Galego
ko        Korean           ???
ka        Georgian         ???????
hu        Hungarian        Magyar
el        Greek            ????????
ro        Romanian         Român?
hi        Hindi            ??????
tr        Turkish          Türkçe
ms        Malay            Bahasa Melayu
sk        Slovak           Sloven?ina
la        Latin            Latina
lv        Latvian          Latviešu
lt        Lithuanian       Lietuvi?
mk        Macedonian       ??????????
sl        Slovenian        Slovenš?ina
ur        Urdu                           ????
th        Thai             ???
ta        Tamil            ?????
cy        Welsh            Cymraeg
af        Afrikaans        Afrikaans
sq        Albanian         Shqip
bn        Bengali          ?????
tl        Tagalog          Tagalog
te        Telugu           ??????
ht        Haitian          Krèyol ayisyen
sw        Swahili          Kiswahili
ga        Irish            Gaeilge
is        Icelandic        Íslenska
gu        Gujarati         ???????
kn        Kannada          ?????
yi        Yiddish                      ??????
